Line list produced by PGOPHER 10.1.182 04 Dec 2018 20:59  32 bit (fpc 3.3.1 i386-Darwin),10001182
Molecule,Upper Manifold,J',Sym',#',Lower Manifold,"J""","Sym""","#""",Position,Intensity,Eupper,Elower,Spol,A,Width,Branch,Label
AlH_Plus,Ground,0.5,f,2,Ground,0.5,e,2,12.3173001411201,1.58011954910155E-7,1632.31730014112,1620,0.0181896022222222,0.0000159905433580589,0,rQ21(0.5),Ground v=1_X 0.5  1 F2f - Ground v=1_X 0.5  0 F1e
AlH_Plus,Ground,1.5,e,2,Ground,0.5,e,2,12.3928251411201,3.17961648246403E-7,1632.39282514112,1620,0.0363792044444444,0.0000162864944134438,0,rR1(0.5),Ground v=1_X 1.5  1 F1e - Ground v=1_X 0.5  0 F1e
AlH_Plus,Ground,0.5,f,1,Ground,0.5,e,1,13.0679831806838,3.09917768148793E-7,13.0679831806838,0,0.0336268888888889,0.0000353025304476706,0,rQ21(0.5),Ground v=0_X 0.5  1 F2f - Ground v=0_X 0.5  0 F1e
AlH_Plus,Ground,1.5,e,1,Ground,0.5,e,1,13.1529581806838,6.23866037712275E-7,13.1529581806838,0,0.0672537777777778,0.00003599568591217,0,rR1(0.5),Ground v=0_X 1.5  1 F1e - Ground v=0_X 0.5  0 F1e
AlH_Plus,Ground,42.5,f,1,Ground,41.5,f,1,23.9417201846263,8.61715776790899E-7,8830.21343785446,8806.27171766984,2.14341745882353,0.000321808719592028,0,rR2(41.5),Ground v=0_X 42.5 43 F2f - Ground v=0_X 41.5 42 F2f
AlH_Plus,Ground,43.5,e,1,Ground,42.5,e,1,23.9983701846231,8.63523847600675E-7,8832.67771285446,8808.67934266984,2.19386461302682,0.00032418718106748,0,rR1(42.5),Ground v=0_X 43.5 43 F1e - Ground v=0_X 42.5 42 F1e
AlH_Plus,Ground,1.5,f,2,Ground,1.5,e,2,24.62235164512,6.31733557412021E-8,1657.01517678624,1632.39282514112,0.00727584088888889,0.0000255467249760056,0,rQ21(1.5),Ground v=1_X 1.5  2 F2f - Ground v=1_X 1.5  1 F1e
AlH_Plus,Ground,1.5,f,2,Ground,0.5,f,2,24.69787664512,6.33671295838114E-7,1657.01517678624,1632.31730014112,0.0363792044444444,0.000128912639368018,0,rR2(0.5),Ground v=1_X 1.5  2 F2f - Ground v=1_X 0.5  1 F2f
AlH_Plus,Ground,2.5,e,2,Ground,1.5,e,2,24.7482266451198,5.71466809309954E-7,1657.14105178624,1632.39282514112,0.065482568,0.000155643199088395,0,rR1(1.5),Ground v=1_X 2.5  2 F1e - Ground v=1_X 1.5  1 F1e
AlH_Plus,Ground,1.5,f,1,Ground,1.5,e,1,26.1249930824989,1.23915059226561E-7,39.2779512631827,13.1529581806838,0.0134507555555556,0.0000564129334935468,0,rQ21(1.5),Ground v=0_X 1.5  2 F2f - Ground v=0_X 1.5  1 F1e
AlH_Plus,Ground,1.5,f,1,Ground,0.5,f,1,26.2099680824989,1.2431810936803E-6,39.2779512631827,13.0679831806838,0.0672537777777778,0.00028482598764607,0,rR2(0.5),Ground v=0_X 1.5  2 F2f - Ground v=0_X 0.5  1 F2f
AlH_Plus,Ground,2.5,e,1,Ground,1.5,e,1,26.2666180824989,1.12128128516109E-6,39.4195762631827,13.1529581806838,0.1210568,0.000344012212374734,0,rR1(1.5),Ground v=0_X 2.5  2 F1e - Ground v=0_X 1.5  1 F1e
